name,configuration,latitude,longitude
YE102,G9+U9+U21+L8+L18+L26,"40,202828","44,462499"
YE103,G9+U9+U21+L8+L18+L26,"40,201075","44,475097"
YE104,G9+U9+U21+L8+L18+L26,"40,199944","44,491222"
YE105,G9+U9+U21,"40,201552","44,50153"
YE106,G9+U9+U21+L8+L18+L26,"40,198621","44,509364"
YE107,G9+U9+U21,"40,202161","44,522146"
YE108,G9+U9+U21+L8+L18+L26,"40,204155","44,529523"
YE109,G9+U9+U21+L18+L26,"40,202337","44,545609"
YE110,G9+U9+U21+L8+L18+L26,"40,198972","44,563917"
YE111,G9+U9+U21,"40,200723","44,571258"
YE112,U9+U21,"40,198271","44,497101"
YE113,G9+U21,"40,17806","44,504791"
YE114,G9+U9+U21,"40,203446","44,581733"
YE115,G9+U9+U21+L8+L18+L26,"40,184694","44,505417"
YE116,G9+U9+U21,"40,208417","44,467273"
YE117,G9+U9+U21+L8+L18+L26,"40,207547","44,477902"
YE118,G9+U9+U21+L18+L26,"40,209644","44,497769"
YE119,G9+U9+U21+L8+L18+L26,"40,208616","44,508023"
YE120,G9+U9+U21+L18+L26,"40,206664","44,5196"
YE121,G9+U9+U21+L18+L26,"40,209984","44,529365"
YE122,G9+U9+U21+L18+L26,"40,208561","44,536226"
YE123,G9+U9+U21,"40,207708","44,545973"
YE124,G9+U9+U21,"40,205686","44,568594"
YE125,U9+U21+L8+L18+L26,"40,202377","44,537549"
YE126,G9+U9+U21+L8+L18+L26,"40,214977","44,481265"
YE127,G9+U9+U21+L8+L18,"40,191451","44,5292"
YE128,G9+U9+U21,"40,216279","44,488494"
YE129,G9+U9+U21,"40,21226","44,462354"
YE130,G9+U9+U21+L8+L18+L26,"40,173707","44,515076"
YE131,G9+U9+U21+L8+L18+L26,"40,212875","44,572456"
YE132,G9+U9+U21+L18+L26,"40,215139","44,581497"
YE133,G9+U9+U21+L8+L18+L26,"40,219477","44,544449"
YE134,G9+U9+U21+L18+L26,"40,218159","44,534809"
YE135,G9+U9+U21+L8+L18+L26,"40,221813","44,574776"
YE136,G9+U9+U21+L8+L18+L26,"40,221722","44,490389"
YE137,G9+U9+U21,"40,222083","44,502639"
YE138,G9+U9+U21+L8+L18+L26,"40,221528","44,562444"
YE139,G9+U9+U21+L8+L18+L26,"40,226278","44,494781"
YE140,G9+U9+U21+L8+L18+L26,"40,217947","44,579246"
YE141,G9+U9+U21+L8+L18+L26,"40,225175","44,573338"
YE142,G9+U9+U21+L8+L18+L26,"40,226441","44,541957"
YE143,G9+U9+U21,"40,229782","44,55798"
